index,timestamp_utc,delta_ms,direction,group,command,cmd_value,kind,status,decoded,payload_len,payload_hex
19825,2026-08-27 20:07:22.264747,1.908,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19826,2026-08-27 20:07:22.267804,3.057,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff ff 00 00 ff fd 00 03,148,04 00 91 00 ff ff 00 00 ff fd 00 03 00 02 ff fc ff f9 ff fd 00 06 00 01 00 05 00 0d ff f6 ff fc ff fb 00 00 ff fb 00 0a ff fc 00 06 ff fc ff fc 00 04 ff e8 ff ff 00 05 00 0d ff fb 00 0b 00 07 ...(+84B)
19827,2026-08-27 20:07:22.290575,22.771,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19828,2026-08-27 20:07:22.292957,2.382,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19829,2026-08-27 20:07:22.296119,3.162,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff fe 00 03 ff fc 00 09,148,04 00 91 00 ff fe 00 03 ff fc 00 09 00 06 00 00 ff ff ff ff 00 02 00 0c 00 10 ff fd 00 03 00 03 ff f6 ff f4 00 03 00 00 ff fc 00 00 ff fb 00 0c ff f6 00 05 ff fd ff fa 00 02 00 00 00 01 ff f1 ...(+84B)
19830,2026-08-27 20:07:22.450856,154.737,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19831,2026-08-27 20:07:22.451640,0.784,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19832,2026-08-27 20:07:22.458147,6.507,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff f5 ff fb ff fa 00 08,148,04 00 91 00 ff f5 ff fb ff fa 00 08 ff ff 00 05 00 06 00 0d ff fe ff ed ff fd 00 05 ff f7 ff fa ff f3 ff f8 00 0c ff f7 00 11 00 11 ff fa ff f7 00 03 ff f0 ff f5 00 0a ff f8 00 03 00 00 00 0f ...(+84B)
19833,2026-08-27 20:07:22.515358,57.211,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19834,2026-08-27 20:07:22.516126,0.768,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
